Employee#,JobSatisfaction_1to7,TurnoverIntention_1to5,Tenure_Years,Age,SupervisorSupport_1to7,Department,Job_Level,Salary,Midpoint_Salary,Compa_Ratio,Overtime_Hours,Performance_Score,Favorite_Color,Commute_Distance_Miles,Desk_Plant_Count
55,7,2.43,4.08,32,7,Administration,Mid,85326.0,80000,1.07,138.0,3.95,Yellow,31.3,4
56,6,2.32,3.7,25,6,Marketing and Sales,Mid,88693.0,80000,1.11,25.0,3.81,Blue,10.6,2
57,5,2.56,8.88,43,2,Marketing and Sales,Senior,104710.0,100000,1.05,42.0,3.14,Green,13.8,5
58,6,2.49,5.67,37,6,Administration,Mid,91515.0,80000,1.14,68.0,3.21,Red,34.8,3
59,4,2.9,2.15,38,5,Supply Chain,Entry,74656.0,60000,1.24,20.0,3.61,Green,11.0,2
60,6,2.23,6.11,41,4,Human Resources,Mid,91324.0,80000,1.14,144.0,2.72,Red,39.3,2
61,1,4.47,9.38,41,3,Supply Chain,Senior,113857.0,100000,1.14,84.0,2.63,Purple,14.8,2
62,2,4.12,8.01,42,1,Marketing and Sales,Senior,100577.0,100000,1.01,136.0,2.52,Yellow,31.7,4
63,7,1.64,3.54,37,7,Human Resources,Mid,79712.0,80000,1.0,42.0,4.1,Red,29.3,2
64,3,3.03,2.39,24,6,Human Resources,Entry,73782.0,60000,1.23,51.0,3.78,Purple,36.1,3
65,2,3.62,4.18,28,3,Supply Chain,Mid,90969.0,80000,1.14,15.0,3.32,Green,30.8,1
66,5,3.39,25.0,63,2,Administration,Senior,127161.0,100000,1.27,26.0,3.73,Yellow,11.7,3
67,4,3.31,2.14,24,2,Accounting and Finance,Entry,76048.0,60000,1.27,92.0,2.71,Blue,18.7,1
68,3,3.58,3.15,37,5,Accounting and Finance,Mid,93425.0,80000,1.17,224.0,2.14,Red,29.6,5
69,1,4.36,6.2,29,1,Accounting and Finance,Mid,102499.0,80000,1.28,12.0,3.15,Blue,7.9,3
70,3,2.6,4.67,41,7,Administration,Mid,79925.0,80000,1.0,4.0,3.88,Green,30.7,3
71,5,3.52,4.48,28,3,Supply Chain,Mid,102706.0,80000,1.28,5.0,3.48,Yellow,24.9,5
72,4,2.9,15.23,52,5,Human Resources,Senior,111149.0,100000,1.11,40.0,4.09,Green,15.1,4
73,7,1.82,3.13,30,5,Human Resources,Mid,80347.0,80000,1.0,110.0,3.48,Yellow,16.3,4
74,5,2.5,4.96,25,5,Accounting and Finance,Mid,111069.0,80000,1.39,18.0,3.63,Red,38.3,1
75,4,2.64,5.59,33,5,Human Resources,Mid,92405.0,80000,1.16,45.0,3.01,Red,14.7,1
76,3,3.4,3.21,32,4,Supply Chain,Mid,90539.0,80000,1.13,51.0,3.37,Purple,32.5,3
77,4,3.09,2.26,27,5,Administration,Entry,70382.0,60000,1.17,127.0,3.06,Red,30.8,1
78,6,1.84,5.8,23,7,Administration,Mid,93110.0,80000,1.16,13.0,4.21,Blue,25.0,2
79,7,1.74,13.56,58,6,Accounting and Finance,Senior,129183.0,100000,1.29,1.0,4.3,Green,31.1,2
80,3,3.43,6.25,35,3,Human Resources,Mid,73707.0,80000,0.92,49.0,2.89,Yellow,28.6,4
81,4,2.98,5.25,26,5,Human Resources,Mid,86803.0,80000,1.09,31.0,3.53,Yellow,7.8,4
82,5,2.87,5.23,45,5,Supply Chain,Mid,100211.0,80000,1.25,24.0,3.85,Purple,5.4,1
83,7,1.52,4.34,36,7,Administration,Mid,89003.0,80000,1.11,104.0,3.7,Yellow,37.9,4
84,2,3.29,9.59,30,6,Human Resources,Senior,98844.0,100000,0.99,81.0,3.25,Yellow,13.9,5
85,6,2.03,3.79,22,6,Administration,Mid,84509.0,80000,1.06,6.0,3.91,Purple,4.2,1
86,4,2.85,2.37,26,7,Administration,Entry,65010.0,60000,1.08,56.0,3.75,Red,32.6,3
87,6,2.55,2.09,30,6,Human Resources,Entry,61337.0,60000,1.02,112.0,3.5,Red,37.2,0
88,4,2.69,5.22,37,6,Human Resources,Mid,90611.0,80000,1.13,168.0,2.66,Blue,11.9,3
89,1,3.88,8.96,45,4,Research and Development,Senior,122617.0,100000,1.23,0.0,3.68,Purple,23.8,0
90,7,1.28,5.7,37,7,Administration,Mid,92567.0,80000,1.16,115.0,3.99,Red,31.7,0
91,4,3.14,4.2,41,2,Human Resources,Mid,84592.0,80000,1.06,3.0,3.68,Green,8.1,5
92,2,3.95,6.43,35,3,Marketing and Sales,Mid,98705.0,80000,1.23,80.0,2.84,Purple,7.6,4
93,2,4.32,5.54,27,2,Marketing and Sales,Mid,93237.0,80000,1.17,64.0,2.77,Green,9.8,2
94,1,5.0,7.88,37,1,Research and Development,Mid,96366.0,80000,1.2,213.0,1.38,Green,37.7,1
95,7,1.76,10.37,40,6,Human Resources,Senior,101513.0,100000,1.02,70.0,4.23,Red,34.4,4
96,6,2.03,2.96,22,4,Supply Chain,Entry,76105.0,60000,1.27,5.0,3.08,Purple,39.3,3
97,1,4.56,1.38,22,2,Research and Development,Entry,85630.0,60000,1.43,78.0,2.41,Green,33.5,5
98,1,4.49,4.12,33,1,Marketing and Sales,Mid,96394.0,80000,1.2,21.0,2.71,Green,24.3,2
99,5,2.45,2.85,25,7,Administration,Entry,67222.0,60000,1.12,125.0,3.66,Green,26.5,2
100,7,1.98,7.9,32,5,Administration,Mid,89018.0,80000,1.11,2.0,4.19,Purple,19.3,1
101,6,2.27,3.36,36,6,Accounting and Finance,Mid,94853.0,80000,1.19,27.0,3.6,Green,26.9,2
102,1,4.64,1.78,22,2,Marketing and Sales,Entry,74916.0,60000,1.25,79.0,2.05,Green,29.5,2
103,5,2.99,3.65,35,4,Supply Chain,Mid,94824.0,80000,1.19,12.0,3.43,Green,26.8,5
104,1,4.08,2.2,22,3,Marketing and Sales,Entry,64641.0,60000,1.08,73.0,2.75,Green,10.5,0
105,6,2.47,11.99,64,6,Administration,Senior,115903.0,100000,1.16,84.0,3.83,Red,30.6,5
106,7,1.54,6.48,33,7,Administration,Mid,86303.0,80000,1.08,93.0,3.79,Green,11.4,0
107,7,1.82,7.14,33,7,Human Resources,Mid,94270.0,80000,1.18,146.0,3.33,Purple,25.3,4
108,5,3.78,6.71,43,2,Supply Chain,Mid,98006.0,80000,1.23,37.0,3.3,Red,26.6,4
109,5,2.2,7.94,34,7,Administration,Mid,102216.0,80000,1.28,11.0,4.49,Yellow,13.5,3
110,1,3.55,9.33,50,4,Administration,Senior,106246.0,100000,1.06,21.0,2.91,Green,34.1,2
111,2,3.66,3.72,33,6,Accounting and Finance,Mid,98852.0,80000,1.24,35.0,3.45,Purple,31.9,4
112,1,3.52,2.29,27,7,Administration,Entry,70234.0,60000,1.17,4.0,4.15,Yellow,37.0,3
113,6,2.94,3.14,27,4,Research and Development,Mid,96046.0,80000,1.2,86.0,3.55,Red,9.5,2
114,2,4.07,4.88,41,2,Human Resources,Mid,85715.0,80000,1.07,5.0,3.01,Yellow,18.8,0
115,7,1.61,1.22,28,7,Administration,Entry,59429.0,60000,0.99,4.0,4.49,Green,3.0,0
116,7,1.81,9.37,42,7,Human Resources,Senior,105152.0,100000,1.05,189.0,3.1,Yellow,21.3,3
117,3,3.73,1.76,31,2,Marketing and Sales,Entry,72773.0,60000,1.21,115.0,2.57,Red,15.2,0
118,4,3.71,6.95,36,3,Research and Development,Mid,92851.0,80000,1.16,20.0,4.03,Purple,35.4,0
119,3,3.02,4.56,35,5,Administration,Mid,82951.0,80000,1.04,29.0,4.15,Yellow,38.1,0
120,4,2.89,5.85,32,5,Supply Chain,Mid,106260.0,80000,1.33,122.0,2.49,Purple,34.1,3
121,6,2.0,3.86,30,6,Supply Chain,Mid,90448.0,80000,1.13,68.0,3.96,Red,33.4,5
122,3,4.1,5.63,25,3,Marketing and Sales,Mid,88369.0,80000,1.1,22.0,4.01,Purple,25.2,0
123,7,1.85,3.86,32,7,Administration,Mid,89613.0,80000,1.12,42.0,3.91,Red,29.5,1
124,5,2.45,3.68,22,6,Administration,Mid,86304.0,80000,1.08,135.0,3.29,Green,10.9,5
125,5,3.13,3.05,31,2,Accounting and Finance,Mid,99120.0,80000,1.24,0.0,4.04,Purple,30.7,4
126,3,3.91,11.57,40,5,Supply Chain,Senior,124043.0,100000,1.24,342.0,1.65,Purple,22.0,0
127,2,4.59,6.12,37,1,Human Resources,Mid,87112.0,80000,1.09,58.0,2.93,Blue,4.6,5
128,5,2.26,5.61,25,4,Human Resources,Mid,85588.0,80000,1.07,14.0,3.7,Purple,33.2,1
129,7,2.21,3.09,22,6,Research and Development,Mid,95420.0,80000,1.19,113.0,2.87,Purple,29.3,3
130,5,2.02,4.39,28,7,Administration,Mid,88287.0,80000,1.1,6.0,4.21,Yellow,26.1,5
131,3,2.73,2.91,22,6,Human Resources,Entry,60663.0,60000,1.01,37.0,3.46,Red,28.6,4
132,5,2.07,3.82,22,7,Human Resources,Mid,78556.0,80000,0.98,60.0,4.08,Yellow,30.8,1
133,6,2.71,2.57,34,4,Accounting and Finance,Entry,80729.0,60000,1.35,20.0,4.46,Green,7.7,4
134,7,2.97,11.98,55,4,Marketing and Sales,Senior,119228.0,100000,1.19,152.0,3.53,Red,29.8,3
135,1,4.5,3.3,23,2,Marketing and Sales,Mid,83482.0,80000,1.04,84.0,2.42,Yellow,29.4,5
136,1,4.48,3.09,28,2,Marketing and Sales,Mid,78640.0,80000,0.98,12.0,3.13,Purple,35.9,5
137,3,3.49,2.41,26,2,Supply Chain,Entry,76144.0,60000,1.27,12.0,3.26,Yellow,13.4,0
138,3,3.87,3.27,24,2,Research and Development,Mid,81886.0,80000,1.02,4.0,3.61,Yellow,22.6,0
139,5,3.51,3.81,35,2,Supply Chain,Mid,81003.0,80000,1.01,59.0,2.67,Yellow,9.0,4
140,1,3.87,4.87,39,2,Marketing and Sales,Mid,94545.0,80000,1.18,15.0,2.58,Yellow,10.3,5
141,1,4.24,3.51,23,2,Marketing and Sales,Mid,85999.0,80000,1.07,55.0,2.01,Red,10.9,5
142,4,3.69,2.07,28,3,Accounting and Finance,Entry,86082.0,60000,1.43,120.0,3.0,Blue,15.6,3
143,6,1.55,2.17,37,7,Supply Chain,Entry,72070.0,60000,1.2,148.0,3.32,Red,1.7,2
144,6,1.91,7.27,41,6,Human Resources,Mid,79173.0,80000,0.99,9.0,3.91,Green,24.6,0
145,4,3.45,4.67,38,3,Research and Development,Mid,84544.0,80000,1.06,28.0,3.13,Purple,11.5,5
146,5,2.28,7.14,46,4,Research and Development,Mid,92620.0,80000,1.16,38.0,3.41,Blue,5.2,3
147,3,3.45,7.68,46,3,Supply Chain,Mid,96880.0,80000,1.21,34.0,2.97,Yellow,39.3,3
148,7,2.45,5.43,40,3,Research and Development,Mid,88204.0,80000,1.1,38.0,3.58,Blue,27.6,5
149,2,3.92,2.54,29,4,Human Resources,Entry,62123.0,60000,1.04,43.0,2.95,Blue,22.5,2
150,7,1.31,5.55,30,7,Supply Chain,Mid,86108.0,80000,1.08,99.0,4.29,Green,12.7,1
151,1,4.88,10.8,42,1,Marketing and Sales,Senior,116287.0,100000,1.16,26.0,3.06,Blue,23.7,5
152,2,3.51,3.91,26,5,Human Resources,Mid,70103.0,80000,0.88,29.0,3.07,Red,24.7,4
153,2,4.21,6.03,22,3,Research and Development,Mid,92882.0,80000,1.16,35.0,2.93,Yellow,10.2,5
154,7,2.3,4.96,30,5,Supply Chain,Mid,98624.0,80000,1.23,11.0,4.49,Purple,1.8,1
155,5,2.96,10.64,44,4,Human Resources,Senior,112512.0,100000,1.13,70.0,3.67,Blue,2.7,0
156,1,4.72,3.44,25,1,Marketing and Sales,Mid,100446.0,80000,1.26,36.0,2.82,Purple,9.5,3
157,3,3.75,9.43,38,1,Marketing and Sales,Senior,104807.0,100000,1.05,174.0,2.54,Blue,11.7,3
158,5,2.34,4.07,29,5,Supply Chain,Mid,97657.0,80000,1.22,121.0,3.73,Blue,28.1,5
159,3,3.02,3.41,40,4,Supply Chain,Mid,99353.0,80000,1.24,18.0,2.98,Purple,35.1,3
160,2,3.08,5.31,30,6,Supply Chain,Mid,100848.0,80000,1.26,19.0,3.3,Red,5.6,4
161,6,3.14,6.04,44,3,Research and Development,Mid,88484.0,80000,1.11,107.0,2.57,Purple,33.5,0
162,3,3.51,14.31,27,1,Accounting and Finance,Senior,133936.0,100000,1.34,57.0,3.26,Blue,17.1,3
163,7,1.83,5.96,44,5,Supply Chain,Mid,107100.0,80000,1.34,1.0,4.02,Yellow,3.1,5
164,7,1.24,5.56,43,7,Research and Development,Mid,84356.0,80000,1.05,70.0,3.74,Green,29.4,4
165,7,1.1,12.03,50,7,Administration,Senior,115903.0,100000,1.16,35.0,4.06,Yellow,38.1,1
166,4,3.44,6.96,22,5,Accounting and Finance,Mid,112114.0,80000,1.4,108.0,3.44,Purple,5.7,4
167,1,4.72,3.51,37,1,Marketing and Sales,Mid,86085.0,80000,1.08,96.0,2.32,Purple,24.7,0
168,4,3.63,10.54,40,5,Accounting and Finance,Senior,129308.0,100000,1.29,179.0,2.68,Red,7.3,3
169,2,4.09,3.33,22,4,Research and Development,Mid,83570.0,80000,1.04,84.0,3.35,Red,30.7,0
170,4,3.49,3.5,39,2,Marketing and Sales,Mid,85377.0,80000,1.07,171.0,2.03,Yellow,12.0,1
171,7,1.0,3.14,40,7,Administration,Mid,79808.0,80000,1.0,23.0,3.75,Yellow,32.2,1
172,5,2.75,2.99,22,7,Human Resources,Entry,65639.0,60000,1.09,29.0,4.83,Yellow,10.9,0
173,5,3.03,6.01,35,2,Research and Development,Mid,93469.0,80000,1.17,4.0,3.42,Blue,5.0,2
174,1,4.44,4.34,41,1,Research and Development,Mid,97235.0,80000,1.22,141.0,1.94,Yellow,2.0,0
175,5,2.3,0.74,34,7,Administration,Entry,60468.0,60000,1.01,12.0,3.71,Red,14.7,4
176,2,3.94,4.31,37,3,Marketing and Sales,Mid,90677.0,80000,1.13,56.0,2.93,Blue,8.5,2
177,1,3.97,3.76,22,3,Marketing and Sales,Mid,96406.0,80000,1.21,50.0,3.15,Red,15.3,5
178,5,2.42,8.17,43,6,Accounting and Finance,Senior,125620.0,100000,1.26,118.0,3.67,Purple,17.5,2
179,4,3.33,3.67,28,3,Accounting and Finance,Mid,92557.0,80000,1.16,34.0,3.51,Red,11.2,4
180,6,2.26,20.21,64,5,Accounting and Finance,Senior,144306.0,100000,1.44,11.0,4.21,Green,34.6,2
181,6,2.51,10.78,43,5,Administration,Senior,108299.0,100000,1.08,34.0,3.43,Blue,27.9,3
182,5,3.04,4.03,30,2,Research and Development,Mid,93357.0,80000,1.17,3.0,3.61,Blue,32.8,4
183,3,2.8,9.41,44,6,Human Resources,Senior,105919.0,100000,1.06,25.0,4.28,Yellow,22.4,1
184,5,2.82,6.67,33,5,Human Resources,Mid,92321.0,80000,1.15,70.0,3.91,Red,6.9,0
185,7,1.6,5.69,33,7,Research and Development,Mid,94234.0,80000,1.18,4.0,4.3,Blue,28.0,3
186,2,5.0,7.77,32,1,Marketing and Sales,Mid,85532.0,80000,1.07,320.0,1.56,Blue,29.9,1
187,7,2.39,5.15,22,3,Accounting and Finance,Mid,94506.0,80000,1.18,54.0,3.46,Blue,25.5,2
188,7,2.38,5.71,37,3,Accounting and Finance,Mid,107952.0,80000,1.35,25.0,3.75,Purple,28.9,3
189,2,3.91,7.86,31,2,Research and Development,Mid,95240.0,80000,1.19,126.0,2.1,Blue,36.1,3
190,1,4.97,15.46,47,1,Marketing and Sales,Senior,130018.0,100000,1.3,10.0,3.04,Blue,5.6,4
191,1,4.14,5.74,35,1,Research and Development,Mid,95251.0,80000,1.19,27.0,2.88,Red,11.4,5
192,1,4.31,3.9,22,4,Research and Development,Mid,86356.0,80000,1.08,194.0,2.1,Purple,8.6,1
193,3,3.06,1.64,22,4,Human Resources,Entry,68954.0,60000,1.15,19.0,3.63,Red,21.5,1
194,6,3.14,14.7,45,2,Marketing and Sales,Senior,117206.0,100000,1.17,92.0,4.02,Yellow,21.9,3
195,1,4.09,4.33,34,4,Accounting and Finance,Mid,89179.0,80000,1.11,6.0,3.73,Green,32.3,1
196,1,4.11,6.71,40,1,Marketing and Sales,Mid,107448.0,80000,1.34,53.0,2.59,Red,32.7,1
197,5,2.16,14.26,35,7,Accounting and Finance,Senior,119926.0,100000,1.2,75.0,3.66,Red,8.9,3
198,4,1.86,5.67,38,7,Administration,Mid,92323.0,80000,1.15,16.0,3.71,Green,38.5,3
199,2,4.48,4.49,29,2,Human Resources,Mid,87368.0,80000,1.09,28.0,2.68,Red,29.5,3
200,2,3.98,10.92,35,2,Human Resources,Senior,107262.0,100000,1.07,56.0,3.02,Red,13.1,4
201,4,2.44,6.44,29,5,Research and Development,Mid,84560.0,80000,1.06,62.0,3.61,Blue,11.1,4
202,3,3.1,6.9,41,4,Human Resources,Mid,91440.0,80000,1.14,12.0,3.59,Blue,8.0,5
203,1,4.75,2.16,30,2,Supply Chain,Entry,66591.0,60000,1.11,37.0,2.87,Yellow,34.2,1
204,7,2.75,9.71,40,7,Human Resources,Senior,96503.0,100000,0.97,400.0,2.2,Yellow,32.8,4
205,6,2.65,6.15,36,5,Accounting and Finance,Mid,102055.0,80000,1.28,27.0,3.84,Red,31.2,4
206,2,3.34,2.35,35,5,Supply Chain,Entry,80256.0,60000,1.34,108.0,2.6,Purple,15.4,3
207,1,3.41,6.53,34,6,Supply Chain,Mid,98596.0,80000,1.23,16.0,4.1,Blue,25.4,5
208,6,3.22,1.61,27,3,Human Resources,Entry,67280.0,60000,1.12,43.0,3.82,Yellow,34.0,2
209,1,4.38,18.13,62,1,Marketing and Sales,Senior,124533.0,100000,1.25,51.0,2.66,Green,14.1,4
210,6,1.81,2.73,26,7,Human Resources,Entry,63062.0,60000,1.05,63.0,3.51,Blue,2.3,4
211,1,3.75,12.13,48,4,Administration,Senior,106372.0,100000,1.06,89.0,2.76,Red,15.9,2
212,7,2.02,3.2,25,4,Administration,Mid,82899.0,80000,1.04,111.0,3.34,Green,28.4,3
213,7,2.89,6.8,32,3,Accounting and Finance,Mid,108759.0,80000,1.36,84.0,3.9,Blue,18.1,3
214,7,1.92,3.03,28,7,Human Resources,Mid,77746.0,80000,0.97,115.0,4.01,Yellow,3.2,3
215,4,3.44,8.65,42,4,Research and Development,Senior,115828.0,100000,1.16,152.0,3.24,Red,25.4,0
216,4,3.23,4.39,40,4,Research and Development,Mid,88145.0,80000,1.1,28.0,3.87,Purple,35.4,0
217,6,2.77,6.47,35,5,Accounting and Finance,Mid,101151.0,80000,1.26,123.0,3.72,Green,3.6,4
218,5,3.27,5.04,22,4,Human Resources,Mid,82795.0,80000,1.03,51.0,3.75,Yellow,31.5,4
219,6,2.47,2.36,33,4,Research and Development,Entry,72371.0,60000,1.21,21.0,3.88,Red,4.7,5
220,1,4.21,6.6,53,2,Supply Chain,Mid,100454.0,80000,1.26,13.0,3.0,Yellow,38.5,2
221,3,3.82,3.79,31,1,Marketing and Sales,Mid,91755.0,80000,1.15,101.0,1.97,Green,32.9,1
222,4,3.04,8.88,25,6,Supply Chain,Senior,125762.0,100000,1.26,71.0,3.53,Purple,39.3,2
223,1,4.14,4.39,32,2,Supply Chain,Mid,92268.0,80000,1.15,5.0,3.67,Green,40.0,5
224,4,2.68,4.79,32,4,Supply Chain,Mid,92821.0,80000,1.16,62.0,3.11,Green,19.6,1
225,1,4.0,12.62,44,3,Research and Development,Senior,112689.0,100000,1.13,3.0,3.14,Red,26.2,5
226,6,2.51,18.53,61,4,Human Resources,Senior,117932.0,100000,1.18,35.0,4.37,Blue,10.0,3
227,1,4.87,7.7,47,1,Accounting and Finance,Mid,110647.0,80000,1.38,59.0,2.71,Green,34.0,4
228,3,4.38,4.27,36,1,Marketing and Sales,Mid,86963.0,80000,1.09,74.0,2.58,Blue,12.3,4
229,1,4.3,4.07,30,1,Marketing and Sales,Mid,90807.0,80000,1.14,12.0,3.42,Red,4.9,3
230,4,2.98,3.19,38,3,Research and Development,Mid,94096.0,80000,1.18,3.0,3.71,Purple,11.4,1
231,2,3.81,3.55,22,3,Research and Development,Mid,89564.0,80000,1.12,60.0,3.2,Purple,27.3,5
232,2,3.02,4.3,26,6,Human Resources,Mid,78335.0,80000,0.98,120.0,2.75,Red,36.6,2
233,5,3.12,14.73,43,3,Supply Chain,Senior,129934.0,100000,1.3,111.0,3.42,Yellow,38.8,4
234,3,3.49,4.49,31,4,Research and Development,Mid,92317.0,80000,1.15,31.0,3.49,Purple,7.3,2
235,3,4.06,2.55,32,1,Research and Development,Entry,76204.0,60000,1.27,60.0,3.07,Purple,9.2,3
236,2,3.69,5.12,31,2,Supply Chain,Mid,101708.0,80000,1.27,89.0,3.09,Yellow,17.1,5
237,1,4.43,5.51,26,1,Marketing and Sales,Mid,100137.0,80000,1.25,145.0,2.53,Purple,20.4,0
238,5,3.84,5.1,39,1,Marketing and Sales,Mid,90567.0,80000,1.13,47.0,3.22,Red,6.2,1
239,4,3.63,7.76,35,1,Marketing and Sales,Mid,93487.0,80000,1.17,146.0,2.77,Red,8.1,5
240,4,2.85,5.19,33,6,Accounting and Finance,Mid,104491.0,80000,1.31,27.0,3.35,Yellow,1.0,5
241,2,4.44,7.63,40,1,Marketing and Sales,Mid,95648.0,80000,1.2,17.0,3.27,Blue,30.2,3
242,5,3.09,3.26,29,2,Marketing and Sales,Mid,78491.0,80000,0.98,24.0,3.61,Yellow,10.2,2
